customer_id,avg_session_time,pages_per_session,cart_abandon_rate,return_rate,support_tickets,review_score,behavior_churn_signal,behavior_churn_signal_binaria,behavior_churn_signal_yes_no
cust000001,8.12,21,95.0,37.0,1,3.39,1,True,Yes
cust000002,3.96,9,16.0,3.0,3,4.46,1,True,Yes
cust000003,12.42,24,71.0,1.0,1,4.88,0,False,No
cust000004,16.82,18,21.0,9.0,1,1.73,0,False,No
cust000005,6.78,2,52.0,22.0,0,2.16,1,True,Yes
cust000006,12.63,8,14.000000000000002,15.0,8,2.47,0,False,No
cust000007,9.67,18,79.0,10.0,3,3.06,0,False,No
cust000008,12.26,23,5.0,30.0,8,1.68,1,True,Yes
cust000009,2.24,15,95.0,48.0,9,4.23,1,True,Yes
cust000010,6.79,1,10.0,34.0,2,2.76,0,False,No
cust000011,3.32,11,50.0,2.0,4,4.64,1,True,Yes
cust000012,5.92,25,66.0,16.0,5,3.08,1,True,Yes
cust000013,11.39,13,18.0,48.0,1,4.1,0,False,No
cust000014,18.85,12,89.0,30.0,9,4.69,1,True,Yes
cust000015,2.68,2,20.0,2.0,7,2.3,0,False,No
cust000016,8.38,13,27.0,41.0,1,2.43,0,False,No
cust000017,6.34,21,54.0,7.000000000000001,9,4.21,0,False,No
cust000018,2.42,12,99.0,39.0,9,1.79,1,True,Yes
cust000019,1.1,3,82.0,35.0,0,3.92,0,False,No
cust000020,15.65,25,7.000000000000001,18.0,4,1.46,0,False,No
cust000021,17.4,8,62.0,17.0,1,1.25,1,True,Yes
cust000022,6.91,15,33.0,36.0,10,3.55,0,False,No
cust000023,17.86,6,47.0,6.0,5,3.85,0,False,No
cust000024,15.45,22,56.00000000000001,39.0,4,2.98,0,False,No
cust000025,10.93,22,43.0,1.0,10,1.43,1,True,Yes
cust000026,1.6,21,64.0,16.0,2,3.03,0,False,No
cust000027,18.24,8,25.0,21.0,2,4.02,0,False,No
cust000028,5.35,9,8.0,14.000000000000002,10,1.64,0,False,No
cust000029,18.66,8,81.0,32.0,10,4.49,1,True,Yes
cust000030,16.27,25,19.0,45.0,0,3.16,1,True,Yes
cust000031,16.34,2,90.0,16.0,5,1.44,1,True,Yes
cust000032,5.33,3,43.0,41.0,3,4.44,0,False,No
cust000033,1.13,19,51.0,21.0,5,1.89,1,True,Yes
cust000034,3.28,16,34.0,47.0,6,2.29,0,False,No
cust000035,10.86,21,70.0,18.0,7,4.89,1,True,Yes
cust000036,19.29,5,25.0,25.0,3,2.2,0,False,No
cust000037,6.41,18,4.0,30.0,4,3.01,0,False,No
cust000038,1.98,14,28.000000000000004,45.0,9,1.96,1,True,Yes
cust000039,3.75,8,49.0,49.0,2,1.97,0,False,No
cust000040,13.77,3,76.0,12.0,0,3.91,0,False,No
cust000041,7.99,5,63.0,32.0,10,3.14,1,True,Yes
cust000042,2.72,22,84.0,16.0,6,1.75,1,True,Yes
cust000043,1.77,13,59.0,34.0,6,1.07,1,True,Yes
cust000044,10.73,15,23.0,32.0,8,1.7,0,False,No
cust000045,14.13,18,39.0,47.0,0,1.55,0,False,No
cust000046,7.48,4,11.0,46.0,10,4.51,0,False,No
cust000047,5.9,25,66.0,41.0,4,3.22,0,False,No
cust000048,11.06,11,24.0,5.0,1,4.59,0,False,No
cust000049,18.11,6,63.0,17.0,7,2.4,1,True,Yes
cust000050,14.79,24,90.0,44.0,4,4.12,0,False,No
cust000051,13.2,25,8.0,8.0,2,4.59,0,False,No
cust000052,12.52,4,1.0,5.0,10,3.65,1,True,Yes
cust000053,1.1,21,16.0,27.0,8,3.77,0,False,No
cust000054,13.39,5,22.0,36.0,5,1.95,0,False,No
cust000055,7.18,18,75.0,32.0,8,4.4,0,False,No
cust000056,13.49,20,56.99999999999999,5.0,5,2.47,0,False,No
cust000057,6.04,4,24.0,49.0,5,2.57,0,False,No
cust000058,17.95,10,63.0,40.0,3,3.01,1,True,Yes
cust000059,11.96,19,49.0,10.0,1,3.89,1,True,Yes
cust000060,6.33,16,2.0,32.0,1,1.71,0,False,No
cust000061,18.87,18,95.0,46.0,2,2.48,1,True,Yes
cust000062,1.29,16,93.0,21.0,8,4.87,1,True,Yes
cust000063,19.31,17,85.0,15.0,9,2.54,1,True,Yes
cust000064,17.17,7,32.0,8.0,8,3.23,0,False,No
cust000065,18.79,23,70.0,28.999999999999996,3,1.39,0,False,No
cust000066,12.69,13,99.0,7.000000000000001,10,3.07,0,False,No
cust000067,17.67,15,74.0,35.0,8,3.81,1,True,Yes
cust000068,7.83,8,28.999999999999996,40.0,3,4.24,1,True,Yes
cust000069,17.47,1,91.0,26.0,9,3.01,0,False,No
cust000070,16.17,19,65.0,35.0,3,4.18,1,True,Yes
cust000071,17.91,23,34.0,19.0,10,1.38,1,True,Yes
cust000072,11.99,3,4.0,23.0,0,3.17,0,False,No
cust000073,6.44,3,59.0,2.0,8,1.15,1,True,Yes
cust000074,16.63,22,36.0,6.0,7,3.09,0,False,No
cust000075,15.63,5,22.0,31.0,9,1.34,0,False,No
cust000076,1.98,8,53.0,27.0,7,3.55,0,False,No
cust000077,14.8,7,98.0,26.0,1,2.29,1,True,Yes
cust000078,16.11,14,27.0,22.0,5,1.31,0,False,No
cust000079,1.48,15,96.0,42.0,0,3.78,0,False,No
cust000080,8.77,21,17.0,8.0,1,2.0,1,True,Yes
cust000081,11.44,24,71.0,33.0,5,2.12,0,False,No
cust000082,19.14,4,74.0,28.000000000000004,3,3.45,1,True,Yes
cust000083,8.97,18,25.0,18.0,7,4.03,1,True,Yes
cust000084,1.27,6,12.0,2.0,4,1.16,1,True,Yes
cust000085,17.25,3,70.0,24.0,7,1.39,0,False,No
cust000086,10.34,18,47.0,9.0,1,2.74,1,True,Yes
cust000087,8.57,18,62.0,32.0,0,1.18,0,False,No
cust000088,8.12,25,63.0,25.0,3,4.43,1,True,Yes
cust000089,13.52,16,16.0,4.0,7,3.57,0,False,No
cust000090,1.5,13,59.0,47.0,0,3.3,1,True,Yes
cust000091,8.38,1,64.0,23.0,6,3.18,1,True,Yes
cust000092,18.89,15,39.0,48.0,4,4.62,0,False,No
cust000093,4.72,24,7.000000000000001,5.0,8,1.07,0,False,No
cust000094,2.79,16,68.0,4.0,2,2.28,1,True,Yes
cust000095,17.05,7,2.0,41.0,0,2.13,0,False,No
cust000096,3.25,18,70.0,31.0,0,4.51,0,False,No
cust000097,14.97,2,80.0,14.000000000000002,0,1.71,0,False,No
cust000098,15.26,17,81.0,50.0,8,2.65,1,True,Yes
cust000099,8.07,17,78.0,17.0,1,4.72,0,False,No
cust000100,17.31,3,43.0,38.0,9,4.02,1,True,Yes
cust000101,2.96,8,90.0,25.0,6,4.31,1,True,Yes
cust000102,7.08,19,90.0,19.0,3,1.04,1,True,Yes
cust000103,18.2,2,9.0,16.0,9,4.8,1,True,Yes
cust000104,19.06,22,56.99999999999999,32.0,9,2.79,0,False,No
cust000105,6.57,11,33.0,34.0,4,4.01,1,True,Yes
cust000106,16.04,23,79.0,5.0,5,2.98,1,True,Yes
cust000107,2.09,13,55.00000000000001,22.0,2,4.55,0,False,No
cust000108,7.67,10,12.0,7.000000000000001,7,4.05,0,False,No
cust000109,12.75,25,10.0,4.0,1,3.8,1,True,Yes
cust000110,2.38,20,82.0,35.0,9,1.33,0,False,No
cust000111,2.61,3,99.0,19.0,8,2.48,1,True,Yes
cust000112,16.44,9,95.0,49.0,2,4.01,0,False,No
cust000113,8.15,3,8.0,39.0,3,3.23,0,False,No
cust000114,9.06,6,91.0,6.0,7,2.97,0,False,No
cust000115,1.22,23,47.0,3.0,4,1.48,0,False,No
cust000116,3.23,21,65.0,37.0,8,3.33,1,True,Yes
cust000117,19.28,18,37.0,14.000000000000002,4,4.47,0,False,No
cust000118,5.25,4,96.0,1.0,2,4.88,1,True,Yes
cust000119,1.82,4,89.0,26.0,8,4.97,1,True,Yes
cust000120,2.4,10,55.00000000000001,48.0,9,3.09,1,True,Yes
cust000121,12.96,11,70.0,23.0,3,3.51,0,False,No
cust000122,12.1,9,90.0,2.0,8,2.12,0,False,No
cust000123,19.06,2,89.0,23.0,1,3.48,0,False,No
cust000124,6.27,9,19.0,23.0,0,2.41,1,True,Yes
cust000125,12.09,25,8.0,49.0,2,4.94,0,False,No
cust000126,14.27,9,54.0,15.0,2,4.26,0,False,No
cust000127,14.01,18,16.0,46.0,6,4.29,0,False,No
cust000128,19.05,4,73.0,31.0,1,2.67,0,False,No
cust000129,18.72,23,87.0,2.0,2,1.11,0,False,No
cust000130,8.15,12,81.0,49.0,9,1.6,0,False,No
cust000131,12.29,14,38.0,48.0,2,4.37,1,True,Yes
cust000132,16.93,12,47.0,21.0,0,2.09,0,False,No
cust000133,2.07,7,86.0,41.0,10,5.0,1,True,Yes
cust000134,19.94,4,56.00000000000001,38.0,5,4.78,0,False,No
cust000135,17.14,14,25.0,23.0,9,1.52,0,False,No
cust000136,19.13,8,61.0,11.0,2,3.69,0,False,No
cust000137,12.74,6,36.0,6.0,6,3.69,1,True,Yes
cust000138,10.89,24,77.0,26.0,5,4.41,0,False,No
cust000139,11.49,14,56.00000000000001,44.0,10,2.61,0,False,No
cust000140,3.55,8,3.0,38.0,4,3.48,1,True,Yes
cust000141,14.38,23,21.0,7.000000000000001,1,1.06,0,False,No
cust000142,7.66,2,59.0,20.0,7,2.75,1,True,Yes
cust000143,18.18,15,35.0,26.0,5,4.13,0,False,No
cust000144,8.53,8,62.0,43.0,3,4.8,1,True,Yes
cust000145,3.79,7,93.0,25.0,6,2.03,1,True,Yes
cust000146,9.72,3,98.0,25.0,4,2.32,1,True,Yes
cust000147,13.03,17,24.0,4.0,6,1.52,0,False,No
cust000148,3.43,18,15.0,7.000000000000001,5,3.56,0,False,No
cust000149,4.46,4,35.0,45.0,4,2.9,1,True,Yes
cust000150,13.68,9,17.0,10.0,0,1.16,1,True,Yes
cust000151,4.21,14,28.000000000000004,9.0,5,1.35,0,False,No
cust000152,3.29,11,46.0,10.0,6,2.46,0,False,No
cust000153,10.56,17,69.0,2.0,1,4.2,0,False,No
cust000154,12.93,19,8.0,44.0,3,4.68,0,False,No
cust000155,2.16,23,28.000000000000004,40.0,6,3.99,1,True,Yes
cust000156,4.51,18,21.0,19.0,10,2.94,0,False,No
cust000157,12.75,24,37.0,23.0,10,3.99,1,True,Yes
cust000158,1.7,14,25.0,36.0,1,4.58,0,False,No
cust000159,10.72,11,53.0,5.0,9,2.79,0,False,No
cust000160,11.12,4,24.0,13.0,4,2.51,0,False,No
cust000161,1.38,22,32.0,11.0,6,2.31,1,True,Yes
cust000162,3.28,23,89.0,30.0,4,3.72,0,False,No
cust000163,15.99,7,50.0,4.0,6,3.15,0,False,No
cust000164,12.15,13,75.0,22.0,10,1.51,0,False,No
cust000165,6.39,6,36.0,32.0,9,3.28,0,False,No
cust000166,7.77,13,99.0,30.0,8,1.95,0,False,No
cust000167,2.93,10,15.0,12.0,4,1.64,1,True,Yes
cust000168,4.54,19,28.999999999999996,9.0,9,4.59,0,False,No
cust000169,2.52,15,52.0,21.0,7,4.93,0,False,No
cust000170,3.13,7,40.0,48.0,8,4.46,0,False,No
cust000171,16.52,24,26.0,9.0,2,3.67,0,False,No
cust000172,18.66,10,56.00000000000001,28.999999999999996,8,2.12,0,False,No
cust000173,15.62,20,19.0,16.0,5,2.7,1,True,Yes
cust000174,10.64,25,24.0,6.0,3,3.44,0,False,No
cust000175,6.48,8,57.99999999999999,8.0,3,2.92,1,True,Yes
cust000176,11.12,2,5.0,17.0,3,1.54,0,False,No
cust000177,2.2,20,99.0,16.0,1,4.24,0,False,No
cust000178,5.84,21,68.0,38.0,9,3.38,1,True,Yes
cust000179,9.96,23,41.0,17.0,6,4.72,0,False,No
cust000180,16.78,8,97.0,6.0,2,3.92,0,False,No
cust000181,18.83,1,18.0,3.0,1,3.96,0,False,No
cust000182,11.91,8,84.0,7.000000000000001,2,4.18,0,False,No
cust000183,4.83,23,16.0,8.0,8,4.26,0,False,No
cust000184,13.64,18,52.0,18.0,3,4.51,0,False,No
cust000185,8.46,4,82.0,22.0,7,2.51,1,True,Yes
cust000186,9.79,15,30.0,37.0,10,3.01,0,False,No
cust000187,5.41,18,90.0,19.0,9,3.17,1,True,Yes
cust000188,18.22,25,62.0,6.0,7,4.76,0,False,No
cust000189,12.93,24,33.0,7.000000000000001,8,4.18,0,False,No
cust000190,12.78,18,53.0,45.0,7,4.15,0,False,No
cust000191,3.88,24,31.0,12.0,7,3.98,0,False,No
cust000192,1.64,25,56.99999999999999,38.0,3,4.51,0,False,No
cust000193,7.5,9,82.0,6.0,8,4.39,0,False,No
cust000194,3.42,8,40.0,40.0,4,1.6,1,True,Yes
cust000195,5.36,23,72.0,36.0,4,3.56,1,True,Yes
cust000196,14.19,11,54.0,13.0,5,2.38,0,False,No
cust000197,4.45,3,91.0,28.999999999999996,2,2.6,1,True,Yes
cust000198,9.78,13,95.0,8.0,2,3.34,0,False,No
cust000199,10.61,3,61.0,1.0,6,4.49,0,False,No
cust000200,18.71,18,56.99999999999999,35.0,7,4.69,0,False,No
cust000201,14.44,7,15.0,28.999999999999996,6,3.43,0,False,No
cust000202,9.06,25,74.0,47.0,9,4.7,0,False,No
cust000203,9.57,1,11.0,49.0,9,4.36,0,False,No
cust000204,3.37,1,92.0,43.0,5,3.08,1,True,Yes
cust000205,12.23,13,40.0,3.0,6,2.34,0,False,No
cust000206,16.25,24,0.0,17.0,8,2.59,0,False,No
cust000207,11.21,8,92.0,17.0,7,2.39,1,True,Yes
cust000208,15.01,14,45.0,11.0,7,2.81,1,True,Yes
cust000209,3.68,11,18.0,25.0,10,2.68,0,False,No
cust000210,18.38,13,36.0,28.999999999999996,2,3.53,0,False,No
cust000211,1.25,5,66.0,9.0,9,4.84,0,False,No
cust000212,3.82,13,41.0,4.0,9,4.99,0,False,No
cust000213,10.54,1,60.0,3.0,1,4.0,0,False,No
cust000214,4.99,5,90.0,10.0,7,1.76,1,True,Yes
cust000215,1.69,9,47.0,28.000000000000004,6,1.26,1,True,Yes
cust000216,15.74,15,45.0,26.0,5,2.76,0,False,No
cust000217,8.61,13,56.00000000000001,8.0,4,1.73,0,False,No
cust000218,17.37,14,95.0,19.0,4,2.08,0,False,No
cust000219,13.24,16,41.0,1.0,0,1.62,0,False,No
cust000220,14.6,2,66.0,1.0,5,1.89,1,True,Yes
cust000221,5.39,3,67.0,1.0,10,1.42,1,True,Yes
cust000222,16.2,1,18.0,33.0,3,1.95,1,True,Yes
cust000223,2.89,1,24.0,36.0,9,4.42,1,True,Yes
cust000224,16.77,5,40.0,33.0,7,1.82,0,False,No
cust000225,6.57,19,90.0,1.0,3,1.34,1,True,Yes
cust000226,4.95,9,3.0,9.0,5,3.33,1,True,Yes
cust000227,9.01,20,89.0,41.0,1,2.37,0,False,No
cust000228,5.93,6,38.0,30.0,4,2.07,1,True,Yes
cust000229,12.86,1,41.0,28.000000000000004,4,2.74,0,False,No
cust000230,6.59,13,95.0,38.0,6,1.56,0,False,No
cust000231,17.5,7,49.0,45.0,1,4.2,0,False,No
cust000232,9.08,21,2.0,13.0,3,3.17,0,False,No
cust000233,13.04,25,26.0,7.000000000000001,4,4.34,0,False,No
cust000234,19.7,20,53.0,9.0,1,2.09,0,False,No
cust000235,1.35,19,91.0,6.0,0,3.31,1,True,Yes
cust000236,6.21,14,55.00000000000001,33.0,10,4.32,0,False,No
cust000237,4.92,17,1.0,7.000000000000001,10,4.6,1,True,Yes
cust000238,17.6,14,60.0,30.0,7,3.66,0,False,No
cust000239,4.33,12,91.0,21.0,10,2.53,0,False,No
cust000240,10.86,15,5.0,8.0,2,3.95,0,False,No
cust000241,2.57,24,60.0,12.0,8,2.56,0,False,No
cust000242,6.49,9,36.0,36.0,9,2.19,0,False,No
cust000243,11.76,18,48.0,33.0,7,4.75,0,False,No
cust000244,14.92,24,21.0,2.0,9,2.05,1,True,Yes
cust000245,12.31,8,5.0,25.0,1,3.39,0,False,No
cust000246,7.35,15,77.0,5.0,3,1.3,0,False,No
cust000247,14.84,19,50.0,34.0,9,2.74,0,False,No
cust000248,5.68,11,82.0,40.0,0,3.78,0,False,No
cust000249,6.17,11,59.0,18.0,2,1.37,0,False,No
cust000250,18.43,12,14.000000000000002,48.0,4,2.78,0,False,No
cust000251,4.52,20,54.0,44.0,4,3.93,0,False,No
cust000252,16.32,17,66.0,35.0,3,4.4,1,True,Yes
cust000253,5.74,24,49.0,11.0,6,4.95,0,False,No
cust000254,18.94,25,4.0,35.0,3,4.7,0,False,No
cust000255,4.43,21,56.99999999999999,46.0,7,1.14,0,False,No
cust000256,14.25,1,30.0,46.0,1,4.88,0,False,No
cust000257,18.94,13,47.0,43.0,3,4.38,0,False,No
cust000258,7.06,19,83.0,2.0,5,3.39,1,True,Yes
cust000259,5.37,17,12.0,4.0,5,3.79,0,False,No
cust000260,7.46,24,72.0,3.0,8,2.26,1,True,Yes
cust000261,11.25,23,79.0,16.0,7,3.5,1,True,Yes
cust000262,17.83,9,62.0,12.0,3,1.1,1,True,Yes
cust000263,17.53,7,2.0,44.0,5,3.12,0,False,No
cust000264,18.84,18,80.0,50.0,2,2.4,1,True,Yes
cust000265,15.58,24,40.0,24.0,7,3.51,1,True,Yes
cust000266,17.6,19,98.0,38.0,8,2.67,0,False,No
cust000267,9.01,4,74.0,12.0,3,1.44,1,True,Yes
cust000268,7.74,12,28.999999999999996,15.0,2,1.93,0,False,No
cust000269,1.8,23,2.0,49.0,8,2.71,1,True,Yes
cust000270,8.3,2,68.0,11.0,0,4.8,0,False,No
cust000271,15.94,23,9.0,21.0,2,4.52,0,False,No
cust000272,18.95,25,47.0,31.0,7,1.67,1,True,Yes
cust000273,19.83,1,23.0,47.0,9,3.6,0,False,No
cust000274,12.55,16,51.0,12.0,7,1.71,1,True,Yes
cust000275,5.19,2,19.0,39.0,4,2.4,0,False,No
cust000276,2.1,16,97.0,44.0,1,4.71,0,False,No
cust000277,19.9,13,17.0,20.0,7,4.03,1,True,Yes
cust000278,14.22,21,15.0,41.0,10,1.9,1,True,Yes
cust000279,5.25,5,54.0,30.0,9,3.32,0,False,No
cust000280,2.74,3,88.0,13.0,3,1.52,1,True,Yes
cust000281,17.89,25,96.0,43.0,6,4.24,0,False,No
cust000282,13.45,20,55.00000000000001,4.0,3,2.63,0,False,No
cust000283,8.08,13,26.0,36.0,7,2.98,0,False,No
cust000284,2.54,10,22.0,34.0,9,1.3,0,False,No
cust000285,17.17,10,50.0,24.0,9,3.37,0,False,No
cust000286,16.67,20,35.0,34.0,1,3.26,0,False,No
cust000287,6.07,7,88.0,40.0,10,3.63,1,True,Yes
cust000288,17.16,22,87.0,35.0,1,4.35,1,True,Yes
cust000289,14.25,6,68.0,31.0,8,4.01,1,True,Yes
cust000290,4.01,1,88.0,44.0,6,1.12,1,True,Yes
cust000291,16.69,20,13.0,17.0,7,3.97,0,False,No
cust000292,4.05,8,82.0,42.0,4,3.03,0,False,No
cust000293,1.12,23,28.999999999999996,31.0,7,4.92,1,True,Yes
cust000294,13.0,8,26.0,32.0,4,3.16,0,False,No
cust000295,15.82,21,11.0,38.0,9,3.17,0,False,No
cust000296,19.3,7,34.0,32.0,6,4.73,1,True,Yes
cust000297,2.95,8,94.0,34.0,10,1.27,1,True,Yes
cust000298,6.72,9,71.0,3.0,2,3.33,1,True,Yes
cust000299,7.57,6,62.0,2.0,4,4.49,0,False,No
cust000300,19.5,19,97.0,37.0,4,1.52,1,True,Yes
cust000301,15.41,15,2.0,1.0,4,2.29,0,False,No
cust000302,10.28,9,77.0,34.0,8,2.78,0,False,No
cust000303,6.2,15,100.0,21.0,1,2.81,0,False,No
cust000304,4.11,14,79.0,35.0,5,1.88,1,True,Yes
cust000305,2.57,1,68.0,33.0,1,2.09,1,True,Yes
cust000306,19.07,22,15.0,22.0,9,4.77,0,False,No
cust000307,8.97,1,64.0,20.0,10,2.1,0,False,No
cust000308,19.7,19,41.0,45.0,0,1.92,0,False,No
cust000309,5.05,6,3.0,33.0,7,2.47,0,False,No
cust000310,17.42,15,47.0,48.0,4,1.74,1,True,Yes
cust000311,17.5,19,78.0,39.0,6,4.38,0,False,No
cust000312,15.46,16,63.0,7.000000000000001,1,1.13,1,True,Yes
cust000313,18.5,14,62.0,40.0,5,2.93,0,False,No
cust000314,3.23,4,13.0,34.0,2,2.72,0,False,No
cust000315,4.81,23,49.0,3.0,7,3.33,1,True,Yes
cust000316,6.11,13,80.0,16.0,8,2.82,1,True,Yes
cust000317,1.22,3,7.000000000000001,20.0,5,2.92,0,False,No
cust000318,12.4,4,28.999999999999996,35.0,6,4.44,0,False,No
cust000319,15.82,1,4.0,24.0,10,1.42,0,False,No
cust000320,5.6,15,99.0,7.000000000000001,6,3.0,1,True,Yes
cust000321,12.74,17,70.0,28.000000000000004,5,1.04,1,True,Yes
cust000322,7.2,16,52.0,4.0,10,2.4,1,True,Yes
cust000323,1.63,2,8.0,20.0,3,1.53,1,True,Yes
cust000324,11.78,5,69.0,40.0,4,1.8,1,True,Yes
cust000325,4.18,23,10.0,32.0,7,3.83,1,True,Yes
cust000326,1.6,21,94.0,3.0,9,3.17,0,False,No
cust000327,14.47,23,87.0,36.0,2,4.21,0,False,No
cust000328,7.45,1,81.0,4.0,8,4.58,0,False,No
cust000329,11.4,8,82.0,23.0,1,3.57,1,True,Yes
cust000330,11.0,4,73.0,4.0,10,1.24,0,False,No
cust000331,5.69,16,16.0,44.0,4,1.88,0,False,No
cust000332,19.54,9,34.0,9.0,6,4.16,0,False,No
cust000333,13.52,16,50.0,28.000000000000004,3,3.88,0,False,No
cust000334,5.34,5,100.0,49.0,6,3.6,1,True,Yes
cust000335,4.79,20,68.0,4.0,8,1.12,1,True,Yes
cust000336,5.9,5,46.0,43.0,1,3.91,1,True,Yes
cust000337,15.11,14,43.0,17.0,5,2.48,0,False,No
cust000338,19.77,17,4.0,43.0,4,3.31,0,False,No
cust000339,9.33,10,73.0,24.0,4,4.49,0,False,No
cust000340,18.11,19,42.0,14.000000000000002,10,3.37,0,False,No
cust000341,18.33,5,21.0,31.0,7,3.53,0,False,No
cust000342,14.93,12,13.0,36.0,5,4.64,0,False,No
cust000343,4.41,18,24.0,49.0,6,1.72,0,False,No
cust000344,17.23,11,49.0,12.0,3,4.48,0,False,No
cust000345,9.46,8,51.0,18.0,9,3.37,0,False,No
cust000346,4.11,25,39.0,48.0,6,2.03,1,True,Yes
cust000347,13.48,24,33.0,39.0,7,1.52,0,False,No
cust000348,19.43,13,45.0,12.0,6,1.29,0,False,No
cust000349,4.23,21,52.0,17.0,2,4.32,0,False,No
cust000350,9.19,2,25.0,31.0,2,3.83,0,False,No
cust000351,4.17,19,17.0,2.0,5,3.95,0,False,No
cust000352,13.61,15,47.0,42.0,1,4.22,0,False,No
cust000353,12.12,15,87.0,10.0,0,1.45,0,False,No
cust000354,6.13,14,6.0,27.0,10,4.75,0,False,No
cust000355,1.75,3,12.0,23.0,7,4.74,0,False,No
cust000356,7.01,9,51.0,2.0,5,1.59,0,False,No
cust000357,19.75,13,97.0,0.0,10,4.81,1,True,Yes
