customer_id,age,gender,country,registration_date,loyalty_score,lifetime_value,churn_label,churn_label_binaria,churn_label_yes_no
cust000001,25,male,canada,2021-08-02,37.45,19019.21,1,True,Yes
cust000002,65,male,uk,2018-10-13,73.2,12013.3,0,False,No
cust000003,19,male,india,2018-03-07,15.6,3204.29,1,True,Yes
cust000004,19,other,india,2021-05-17,5.81,17336.91,0,False,No
cust000005,52,female,india,2021-12-07,60.11,14190.64,0,False,No
cust000006,69,male,germany,2019-07-24,2.06,19401.21,0,False,No
cust000007,35,male,india,2019-11-28,83.24,4325.55,0,False,No
cust000008,24,male,france,2019-11-21,18.18,3749.75,1,True,Yes
cust000009,40,other,canada,2022-10-02,30.42,10542.65,0,False,No
cust000010,47,other,uk,2022-02-03,43.19,5895.46,0,False,No
cust000011,23,other,canada,2020-02-15,61.19,2875.93,0,False,No
cust000012,41,other,india,2021-06-20,29.21,7390.6,0,False,No
cust000013,60,male,canada,2018-04-04,45.61,15725.0,0,False,No
cust000014,32,male,france,2022-10-18,19.97,10333.27,1,True,Yes
cust000015,41,male,australia,2021-07-25,59.24,1024.36,0,False,No
cust000016,35,other,uk,2021-10-04,60.75,3493.43,0,False,No
cust000017,52,other,india,2018-12-17,6.51,18982.82,1,True,Yes
cust000018,35,other,india,2020-02-17,96.56,16187.11,0,False,No
cust000019,67,male,india,2022-09-23,30.46,2043.68,0,False,No
cust000020,38,female,canada,2022-07-07,68.42,8859.03,1,True,Yes
cust000021,54,other,australia,2023-02-14,12.2,9954.02,1,True,Yes
cust000022,43,other,brazil,2020-10-19,3.44,18195.48,1,True,Yes
cust000023,33,other,canada,2018-10-13,25.88,13284.19,0,False,No
cust000024,55,female,australia,2020-05-27,31.17,10449.35,1,True,Yes
cust000025,50,female,uk,2018-10-11,54.67,3778.6,0,False,No
cust000026,25,male,germany,2022-10-30,96.96,15525.14,0,False,No
cust000027,56,male,france,2020-05-14,93.95,17907.06,0,False,No
cust000028,51,female,usa,2020-08-16,59.79,18445.3,0,False,No
cust000029,61,other,canada,2018-08-23,8.85,4000.06,0,False,No
cust000030,25,female,france,2019-11-28,4.52,6574.07,1,True,Yes
cust000031,64,other,canada,2018-01-07,38.87,5499.85,0,False,No
cust000032,29,other,uk,2022-04-10,82.87,7199.39,0,False,No
cust000033,58,other,india,2019-09-04,28.09,10899.65,1,True,Yes
cust000034,28,other,usa,2022-04-11,14.09,16063.72,0,False,No
cust000035,19,male,australia,2020-09-27,7.46,19739.05,0,False,No
cust000036,69,female,india,2022-08-31,77.22,4054.44,1,True,Yes
cust000037,54,male,uk,2022-12-04,0.55,16327.68,0,False,No
cust000038,22,other,germany,2022-07-30,70.69,14607.24,0,False,No
cust000039,53,male,canada,2020-08-31,77.13,1573.49,0,False,No
cust000040,45,male,india,2021-05-27,35.85,2405.79,0,False,No
cust000041,60,other,australia,2020-03-28,86.31,12503.63,0,False,No
cust000042,46,male,india,2020-11-25,33.09,1364.81,1,True,Yes
cust000043,19,other,india,2019-11-24,31.1,6571.15,0,False,No
cust000044,22,other,usa,2018-01-15,72.96,12787.39,0,False,No
cust000045,20,female,uk,2023-01-29,88.72,9497.08,0,False,No
cust000046,60,female,india,2019-07-25,11.96,14293.57,0,False,No
cust000047,54,other,brazil,2022-01-21,76.08,11269.42,0,False,No
